f1	f2
93.760	93.878
93.764	93.878
93.756	93.878
93.750	93.858
93.746	93.850
93.740	93.850
93.740	93.850
93.744	93.850
93.738	93.850
93.742	93.850
93.740	93.848
93.732	93.844
93.728	93.848
93.722	93.838
93.718	93.838
93.728	93.842
93.718	93.828
93.728	93.840
93.734	93.840
93.740	93.840
93.736	93.840
93.730	93.836
93.730	93.850
93.728	93.850
93.720	93.838
93.704	93.838
93.716	93.838
93.712	93.838
93.714	93.838
93.716	93.838
93.712	93.838
93.718	93.838
93.712	93.838
93.712	93.832
93.710	93.832
93.704	93.832
93.694	93.832
93.694	93.832
93.694	93.832
93.700	93.832
93.700	93.832
93.696	93.832
93.694	93.832
93.692	93.832
93.692	93.832
93.692	93.832
93.694	93.832
93.694	93.832
93.692	93.832
93.694	93.832
93.696	93.832
93.696	93.832
93.694	93.832
93.696	93.832
93.700	93.820
93.712	93.830
93.714	93.830
93.714	93.830
93.714	93.830
93.716	93.830
93.712	93.830
93.708	93.830
93.712	93.822
93.712	93.822
93.710	93.816
93.710	93.816
93.716	93.816
93.726	93.828
93.720	93.828
93.722	93.828
93.744	93.828
93.738	93.828
93.750	93.846
93.762	93.846
93.762	93.846
93.756	93.866
93.770	93.866
93.782	93.890
93.784	93.892
93.800	93.904
93.804	93.922
93.816	93.922
93.824	93.922
93.828	93.922
93.820	93.922
93.840	93.956
93.830	93.948
93.812	93.948
93.800	93.918
93.804	93.918
93.810	93.918
93.796	93.918
93.796	93.918
93.792	93.918
93.778	93.880
93.778	93.880
93.792	93.902
93.798	93.902
93.790	93.902
93.786	93.902
93.790	93.902
93.784	93.902
93.784	93.902
93.778	93.902
93.780	93.902
93.782	93.902
93.778	93.888
93.778	93.888
93.760	93.878
93.730	93.856
93.734	93.856
93.740	93.842
93.716	93.798
93.712	93.820
93.714	93.820
93.728	93.820
93.730	93.820
93.728	93.820
93.738	93.820
93.740	93.842
93.738	93.842
93.740	93.842
93.750	93.852
93.744	93.852
93.740	93.834
93.726	93.832
93.720	93.832
93.730	93.832
93.742	93.832
93.722	93.832
93.720	93.832
93.726	93.832
93.724	93.832
93.730	93.832
93.724	93.832
93.730	93.832
93.734	93.832
93.738	93.832
93.740	93.832
93.744	93.846
93.740	93.844
93.738	93.844
93.738	93.844
93.738	93.844
93.730	93.844
93.728	93.844
93.736	93.844
93.734	93.844
93.734	93.844
93.734	93.844
93.740	93.844
93.732	93.844
93.718	93.844
93.724	93.844
93.730	93.844
93.736	93.844
93.734	93.844
93.734	93.844
93.734	93.844
93.730	93.844
93.728	93.844
93.716	93.844
93.720	93.844
93.728	93.844
93.728	93.844
93.730	93.844
93.728	93.844
93.726	93.844
93.724	93.844
93.726	93.844
93.728	93.844
93.730	93.844
93.730	93.836
93.736	93.836
93.750	93.858
93.750	93.844
93.744	93.844
93.740	93.844
